code,am,ar,bg,bn,ckb,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,gu,he,hi,ht,hu,hy,id,is,it,ja,ka,km,kn,ko,lo,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,sd,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh
am,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ar,6,106778,0,1,0,0,0,0,0,1,3,0,0,0,11224,0,0,0,4,1,0,0,3,0,0,0,12,29,63,5,7,0,0,0,1,0,0,0,0,0,0,3,1,1378,0,0,0,0,32,0,0,0,0,4,0,0,0,0,0,7816,0,253
bg,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,112,0,0,0,0,0,0,40,0,0,0,0
bn,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ckb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
cs,7,4,4,6,0,989,3,2,47,18,517,94,11,7,0,22,51,1,5,0,1,44,3,12,7,50,9,10,8,0,8,0,14,3,2,0,0,0,14,6,0,0,47,2,71,10,116,0,1,118,16,12,0,0,4,7,5,17,0,2,2,123
cy,12,3,0,0,0,8,215,38,174,2,1030,107,30,14,2,55,68,0,8,2,4,10,0,15,2,86,15,3,9,0,6,0,27,6,1,0,0,0,20,10,0,0,43,0,29,14,2,0,1,5,0,17,0,0,8,6,10,0,0,3,18,64
da,9,2,0,17,0,9,6,1152,155,0,1197,77,31,14,1,16,101,0,5,1,2,9,0,38,9,52,9,2,15,0,4,0,6,6,1,0,0,1,89,405,0,0,24,1,44,12,1,0,2,17,0,71,0,0,1,32,20,1,0,1,4,45
de,25,4,0,8,0,19,26,71,13361,0,1844,116,62,69,1,64,158,0,20,2,5,19,1,39,22,83,24,13,18,0,13,3,19,171,0,0,0,0,201,61,0,3,83,21,78,23,1,0,2,24,0,89,1,1,5,17,48,1,0,2,11,105
el,0,0,0,0,0,0,0,0,0,5119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,2323,492,5,1210,0,1361,1358,6585,14576,214,1324701,12340,2681,980,166,3590,11496,29,4334,355,175,807,119,5110,366,9989,5164,975,3410,42,1530,407,1254,463,101,132,0,231,6915,2828,79,39,4564,30,4828,1612,200,0,525,1468,4,5227,130,73,1561,3207,691,10,0,461,873,18575
es,940,52,0,90,0,1588,247,373,1597,34,23035,468349,1333,1193,51,1829,5455,22,396,17,143,1691,118,819,249,10378,1297,496,1157,2,282,187,2254,1033,16,25,0,22,1955,229,15,5,695,28,12781,1168,8,0,154,1168,1,904,19,1,5,499,150,1,0,109,296,1840
et,37,11,0,28,0,21,24,80,273,8,3453,357,710,44,3,332,147,1,26,5,14,29,11,211,8,271,42,15,29,0,44,5,114,21,4,1,0,1,220,46,0,1,62,4,115,60,2,0,9,69,0,64,9,9,3066,166,155,0,0,11,15,221
eu,39,0,0,11,0,18,7,27,166,3,802,228,61,443,2,68,78,0,13,3,2,28,0,35,0,134,25,5,14,0,9,4,27,15,1,6,0,0,64,7,0,0,61,0,82,40,1,0,2,37,0,17,4,0,629,25,15,1,0,1,8,96
fa,0,89,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,4
fi,10,2,0,0,0,4,7,9,57,0,518,72,50,18,4,1947,53,0,6,0,2,8,0,56,3,62,9,0,11,0,3,1,41,11,0,0,0,0,44,11,0,1,21,1,44,10,17,0,1,10,1,17,0,0,11,14,28,0,0,1,9,45
fr,164,9,1,19,0,51,119,249,868,3,5808,1314,192,105,0,353,71635,1,71,12,65,208,4,200,11,968,166,27,104,2,46,7,254,140,3,2,0,4,517,98,1,5,261,2,662,361,2,0,22,158,0,83,5,5,12,38,170,0,0,16,56,404
gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1596,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
hi,11,4,0,2,0,4,25,20,71,2,1402,76,76,68,1,136,38,0,20,3804,12,7,0,328,0,91,14,1,10,0,4,3,15,10,1,250,0,131,200,25,0,0,26,0,19,15,1,0,2,30,0,76,1,0,0,238,20,0,0,0,11,39
ht,20,9,0,5,0,45,41,64,316,8,4755,485,129,50,12,150,597,1,63,6,136,60,0,175,4,362,68,20,58,0,18,0,33,9,2,2,0,4,169,40,2,2,126,0,716,54,4,0,4,52,0,94,7,0,11,116,67,0,0,8,14,173
hu,7,2,0,3,0,27,2,22,53,2,441,96,28,28,0,21,39,0,9,0,5,778,0,18,17,31,9,3,9,0,3,2,14,4,1,0,0,1,39,10,0,0,18,0,30,12,0,0,0,9,0,35,0,0,1,2,15,0,0,1,3,32
hy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
id,372,65,0,78,0,212,351,736,2968,13,31314,2556,1733,1026,19,1553,1249,10,265,20,130,342,18,61472,108,1977,312,121,249,7,145,45,805,328,24,7,0,14,1119,480,9,0,589,4,750,508,4,0,82,1254,2,646,9,2,1081,6363,532,6,0,50,213,1208
is,3,3,0,2,0,7,0,29,39,0,331,24,20,12,0,50,17,1,3,1,0,22,0,9,729,17,4,1,5,0,0,0,9,1,0,0,0,0,14,9,0,0,7,0,19,8,1,0,0,7,0,25,1,0,0,3,3,0,0,0,2,23
it,61,9,2,19,0,58,18,70,255,5,3527,1472,106,37,13,200,358,0,40,5,57,23,6,152,4,24947,79,36,58,2,32,11,162,29,0,5,0,3,116,68,0,1,123,1,749,177,1,0,9,94,0,70,1,4,6,50,8,0,0,11,46,272
ja,3,11,0,4,0,0,0,0,0,7,11,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,204650,1,1,0,56,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1,0,0,0,68,0,0,0,0,0,0,12341
ka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
km,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko,16,3,0,0,0,1,1,0,0,0,12,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,108,0,3,0,6709,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,87,2,0,0,0,2,0,7
lo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lt,8,2,0,7,0,2,7,11,60,1,544,221,47,13,4,41,43,1,16,1,1,5,0,25,3,79,21,1,6,0,3,1,345,38,2,0,0,0,27,3,2,0,50,0,65,16,0,0,1,25,0,21,0,0,3,9,8,0,0,2,9,48
lv,18,4,0,1,0,5,3,16,77,0,711,132,41,17,0,29,43,0,3,0,1,4,7,23,0,41,17,1,12,1,2,0,79,1846,0,0,0,0,34,12,0,0,37,0,22,12,0,0,0,63,0,18,0,0,0,37,244,0,0,0,0,40
ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nl,21,3,0,13,0,13,12,158,532,1,2173,169,97,49,0,97,202,0,15,2,6,14,1,114,1,90,33,9,12,0,10,6,30,11,0,1,0,3,14200,118,0,0,96,2,40,19,1,0,5,71,0,66,0,0,2,22,16,0,0,3,8,159
no,6,3,0,1,0,4,2,193,118,1,808,53,27,9,1,24,34,0,11,0,0,7,1,21,3,79,15,3,13,0,3,2,11,0,2,2,0,1,56,906,0,2,8,0,26,26,2,0,5,16,0,78,0,0,1,23,9,0,0,3,4,43
or,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pl,12,3,0,8,0,19,15,15,154,1,1549,167,32,34,1,60,33,1,13,3,0,43,0,23,3,116,29,5,27,1,5,8,27,22,0,1,0,1,58,19,1,0,9155,5,102,32,0,0,12,112,0,26,0,0,4,21,12,0,0,2,6,77
ps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
pt,686,55,1,34,0,1164,679,391,2396,13,21156,19043,844,1141,24,1582,8777,3,206,22,57,1608,13,318,715,8643,812,114,356,4,95,146,1416,371,4,23,0,9,946,126,5,0,456,20,274838,1390,4,0,148,759,2,565,12,1,17,269,532,0,0,28,555,1265
ro,10,3,0,1,0,23,6,19,59,6,1112,265,15,16,1,13,81,0,16,0,2,17,1,24,4,101,35,6,10,0,6,1,13,8,0,0,0,2,28,11,0,0,35,1,141,326,24,0,1,8,1,7,1,0,0,36,84,3,0,0,4,35
ru,19,0,6598,2,0,2,0,0,0,1,61,0,1,0,0,0,0,1,12,24,0,0,12,0,0,0,19,117,8,0,4,1,0,0,1,18,0,47,0,0,2,1,2,2,0,0,84532,0,6,0,4118,0,0,37,0,0,2,5593,0,2,4,156
sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
si,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0
sl,2,0,0,0,0,9,1,6,32,3,243,49,10,9,0,6,10,0,0,0,1,0,0,17,2,49,2,1,4,0,0,0,8,1,0,0,0,0,21,5,0,0,87,0,28,4,0,0,0,592,0,4,0,0,0,5,23,0,0,0,1,12
sr,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,423,0,0,0,0,0,0,11,0,0,0,0
sv,7,3,0,5,0,6,8,142,111,1,952,79,58,13,0,112,53,0,7,2,4,9,3,38,4,103,19,4,9,1,4,0,15,7,0,0,0,2,52,269,0,0,26,0,28,14,1,0,3,18,0,5447,1,0,1,22,14,0,0,2,13,58
ta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1399,0,0,0,0,0,0,0,0,2
te,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
th,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65700,0,0,0,0,2,0,28
tl,182,35,2,27,0,137,125,461,1673,9,21289,4518,1233,636,11,1166,534,4,173,25,149,171,8,7911,18,2943,236,64,160,6,52,34,615,123,14,8,0,12,738,333,6,0,508,0,635,325,2,0,32,486,0,423,1,0,256,32806,156,0,0,20,142,752
tr,92,8,0,15,0,22,80,250,1883,6,4022,531,623,546,6,371,225,0,45,3,77,171,7,1342,57,517,50,62,127,0,16,15,102,47,3,2,0,6,501,323,4,0,157,1,272,273,2,0,16,370,0,213,0,0,0,754,110107,0,0,14,42,314
uk,4,0,284,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,3388,0,0,0,0,0,0,5673,0,0,0,4
und,1222,4428,147,2577,0,503,43,520,1987,1056,214195,3296,605,111,655,2407,1386,110,3597,911,19,463,122,529,130,1122,10350,1196,4579,164,2079,122,545,69,191,403,0,441,648,117,97,55,567,239,1338,301,2998,0,402,922,200,1047,559,43,4793,83,286,323,0,1438,1522,12499
ur,0,14,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138,0,54
vi,18,10,0,2,0,2,1,1,5,2,136,12,4,2,2,4,18,0,2,2,1,4,309,32,2,6,4,4,2,0,5,2,1,0,0,0,0,2,2,1,1,0,6,0,12,1,0,0,0,3,0,1,2,0,2117,9,7,0,0,1,305,31
zh,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4134
