lang,Lang,prec,rec,F1
am,Amharic,1,0.001,0.001998002
ar,Arabic,0.837,0.952,0.890803801
bg,Bulgarian,0.535,0.067,0.119086379
bn,Bengali,0.998,0.231,0.375163548
ckb,null,0,0,0
cs,Czech,0.391,0.156,0.22302011
cy,Welsh,0.098,0.063,0.076695652
da,Danish,0.31,0.098,0.148921569
de,German,0.783,0.303,0.436922652
el,"Greek,Modern(1453-)",1,0.782,0.877665544
en,English,0.899,0.792,0.842114725
es,Spanish;Castilian,0.853,0.907,0.879171591
et,Estonian,0.066,0.065,0.065496183
eu,Basque,0.132,0.066,0.088
fa,Persian,0.892,0.14,0.242015504
fi,Finnish,0.599,0.119,0.198554318
fr,French,0.832,0.696,0.757947644
gu,Gujarati,1,0.352,0.520710059
he,Hebrew,0.992,0.145,0.253016711
hi,Hindi,0.518,0.695,0.59358615
ht,Haitian;Haitian-Creole,0.015,0.127,0.026830986
hu,Hungarian,0.413,0.118,0.183555556
hy,Armenian,0.826,0.024,0.046644706
id,Indonesian,0.49,0.777,0.600994475
is,Icelandic,0.499,0.294,0.370002522
it,Italian,0.741,0.394,0.514456388
ja,Japanese,0.942,0.915,0.928303716
ka,Georgian,1,0.004,0.007968127
km,Central-Khmer,0.96,0.002,0.003991684
kn,Kannada,1,0.188,0.316498316
ko,Korean,0.964,0.598,0.738120359
lo,Lao,1,0.005,0.009950249
lt,Lithuanian,0.187,0.042,0.068593886
lv,Latvian,0.505,0.385,0.436910112
ml,Malayalam,1,0.227,0.37000815
mr,Marathi,0.813,0.144,0.244664577
my,Burmese,0,0,0
ne,Nepali,0.743,0.465,0.572011589
nl,Dutch;Flemish,0.758,0.49,0.595224359
no,Norwegian,0.34,0.138,0.196317992
or,Oriya,1,0.05,0.095238095
pa,Panjabi;Punjabi,1,0.174,0.296422487
pl,Polish,0.758,0.51,0.609747634
ps,Pushto;Pashto,0.59,0.02,0.038688525
pt,Portuguese,0.774,0.921,0.841125664
ro,Romanian;Moldavian;Moldovan,0.124,0.048,0.069209302
ru,Russian,0.834,0.945,0.886037099
sd,Sindhi,0,0,0
si,Sinhala;Sinhalese,1,0.076,0.141263941
sl,Slovenian,0.475,0.074,0.128051002
sr,Serbian,0.766,0.051,0.095632803
sv,Swedish,0.703,0.355,0.471767486
ta,Tamil,0.996,0.647,0.784433354
te,Telugu,1,0.113,0.203054807
th,Thai,0.999,0.827,0.904899233
tl,Tagalog,0.398,0.731,0.515390611
tr,Turkish,0.883,0.971,0.924911543
uk,Ukrainian,0.541,0.486,0.512027264
und,null,0,0,0
ur,Urdu,0.92,0.174,0.292650823
vi,Vietnamese,0.099,0.073,0.084034884
zh,Chinese,0.986,0.074,0.137667925